 Population ,% of World,Date,Source
"8,23,20,00,000",100.00%,13-Jun-25,UN projection
"1,41,74,92,000",17.20%,01-Jul-25,Official projection
"1,40,48,90,000",17.10%,31-Dec-25,Official estimate
"34,17,84,857",4.20%,01-Jul-25,Official estimate
"28,44,38,782",3.50%,30-Jun-25,National annual projection
"24,14,99,431",2.90%,01-Mar-23,2023 census result
"22,38,00,000",2.70%,01-Jul-23,Official projection
"21,34,21,037",2.60%,01-Jul-25,Official estimate
"16,98,28,911",2.10%,14-Jun-22,2022 census result
"14,60,28,325",1.80%,01-Jan-25,Official estimate
"13,07,60,049",1.60%,30-Sep-25,National quarterly estimate
"12,29,50,000",1.50%,01-Jan-26,Monthly national estimate
"11,41,23,600",1.40%,01-Jul-25,Official projection
"11,28,32,000",1.40%,01-Jul-25,UN projection
"11,16,52,998",1.40%,01-Jul-25,National annual projection
"10,78,68,296",1.30%,01-Jul-25,Official estimate
"10,23,00,000",1.20%,31-Dec-25,Official estimate
"8,65,63,000",1.10%,20-Mar-25,Official projection
"8,60,92,168",1.00%,31-Dec-25,Official estimate
"8,34,97,147",1.00%,30-Sep-25,National quarterly estimate
"6,94,87,000",0.80%,30-Jun-25,Official estimate
"6,90,81,996",0.80%,01-Jan-26,Yearly national estimate
"6,81,53,004",0.80%,01-Jul-25,Official projection
"6,58,26,149",0.80%,30-Nov-25,Monthly national estimate
"6,31,00,945",0.80%,30-Jun-25,Official estimate
"5,89,56,824",0.70%,31-Oct-25,Monthly national estimate
"5,33,30,978",0.60%,01-Jul-25,Official projection
"5,30,57,212",0.60%,01-Jan-25,Official projection
"5,16,62,000",0.60%,01-Jul-25,UN projection
"5,13,75,327",0.60%,15-Oct-24,2024 census result
"5,11,17,378",0.60%,31-Dec-25,Monthly national estimate
"4,95,70,725",0.60%,01-Jan-26,National quarterly estimate
"4,74,00,000",0.60%,01-Jan-25,National annual projection
"4,63,87,098",0.60%,01-Jul-25,National annual projection
"4,61,18,793",0.60%,24-Feb-25,2024 census result
"4,59,05,417",0.60%,10-May-24,2024 census result
"4,38,44,000",0.50%,01-Jul-25,UN projection
"4,15,75,585",0.50%,01-Oct-25,National quarterly estimate
"3,82,36,704",0.50%,01-Jan-26,Official estimate
"3,73,51,000",0.50%,30-Nov-25,Monthly national estimate
"3,68,28,330",0.40%,01-Sep-24,2024 census result
"3,66,04,681",0.40%,19-Sep-24,2024 census result
"3,53,00,280",0.40%,01-Jul-24,Official estimate
"3,43,50,244",0.40%,01-Jul-25,National annual projection
"3,42,81,100",0.40%,30-Sep-25,National quarterly estimate
"3,40,90,466",0.40%,01-Jul-25,National annual projection
"3,37,42,380",0.40%,01-Jul-25,National annual projection
"3,26,84,503",0.40%,01-Jul-23,Official estimate
"3,17,27,042",0.40%,01-Jul-25,National annual projection
"3,17,19,275",0.40%,31-Dec-24,National annual projection
"2,99,11,840",0.40%,17-Jul-05,National annual projection
"2,94,42,327",0.40%,01-Jul-25,National annual projection
"2,87,00,000",0.30%,01-Sep-25,State migration service
"2,85,17,000",0.30%,01-Jul-25,UN projection
"2,76,14,400",0.30%,30-Jun-25,Official projection
"2,75,22,750",0.30%,01-Jul-25,National annual projection
"2,59,50,000",0.30%,01-Jul-24,National annual projection
"2,56,20,427",0.30%,01-Jul-25,Monthly estimate
"2,40,70,553",0.30%,01-Jul-25,Official projection
"2,32,89,045",0.30%,31-Jan-26,Official estimate
"2,23,95,489",0.30%,15-Jun-22,2022 census result
"2,17,81,800",0.30%,19-Dec-24,2024 census result
"2,07,34,262",0.30%,01-Jul-25,National annual projection
"2,04,95,975",0.20%,01-Jan-26,Official estimate
"2,02,06,953",0.20%,30-Jun-25,National annual projection
"1,96,93,423",0.20%,08-Sep-22,2022 census result
"1,96,55,000",0.20%,01-Jul-25,UN projection
"1,93,40,757",0.20%,01-Jul-25,National annual projection
"1,90,36,031",0.20%,01-Jan-25,Official estimate
"1,85,93,258",0.20%,01-Jul-24,National annual projection
"1,81,31,238",0.20%,01-Jan-26,Official estimate
"1,81,03,660",0.20%,01-Jul-25,National annual projection
"1,80,79,810",0.20%,01-Jul-25,National annual projection
"1,75,77,760",0.20%,01-Jul-25,Official projection
"1,70,73,087",0.20%,01-Jul-25,Official projection
"1,57,86,898",0.20%,01-Jul-25,National annual projection
"1,43,63,931",0.20%,01-Jul-25,National annual projection
"1,41,04,969",0.20%,01-Jul-25,National annual projection
"1,32,24,860",0.20%,01-Jul-25,National annual projection
"1,23,32,788",0.10%,16-Aug-24,Preliminary census result
"1,19,72,169",0.10%,06-Nov-24,2024 census result
"1,19,28,761",0.10%,01-Dec-25,Official estimate
"1,18,67,032",0.10%,01-Jul-24,National annual projection
"1,17,34,000",0.10%,31-Dec-24,National estimate
"1,13,65,333",0.10%,23-Mar-24,2024 census result
"1,12,94,243",0.10%,31-Dec-24,Official estimate
"1,08,97,178",0.10%,30-Sep-25,Official estimate
"1,07,71,504",0.10%,10-Nov-22,2022 census result
"1,07,49,635",0.10%,31-Dec-24,Official estimate
"1,06,08,003",0.10%,30-Nov-25,Monthly national estimate
"1,04,99,000",0.10%,01-Jan-25,Official estimate
"1,03,72,335",0.10%,01-Jan-25,Official estimate
"1,02,59,701",0.10%,01-Dec-25,Monthly national estimate
"1,01,85,363",0.10%,16-Jun-24,2024 census result
"1,01,76,900",0.10%,31-Dec-25,Monthly national estimate
"98,92,632",0.10%,01-Jul-24,National annual projection
"97,48,007",0.10%,31-Dec-24,Official estimate
"94,89,000",0.10%,01-Jan-26,Official estimate
"92,19,113",0.10%,01-Jan-26,National quarterly estimate
"91,09,280",0.10%,01-Jan-25,Official estimate
"91,04,063",0.10%,30-Sep-25,National quarterly estimate
"90,77,691",0.10%,01-Jul-25,National annual projection
"80,95,498",0.10%,08-Nov-22,2022 census result
"76,47,000",0.09%,01-Jul-24,National annual projection
"75,27,500",0.09%,30-Jun-25,National estimate
"74,59,000",0.09%,01-Jul-25,UN projection
"72,81,800",0.09%,01-Jan-25,Monthly national estimate
"70,57,841",0.09%,17-Dec-22,2022 census result
"68,74,748",0.08%,30-Jun-24,Official estimate
"65,67,783",0.08%,01-Jan-25,Official estimate
"64,70,307",0.08%,01-Jul-24,National annual projection
"64,37,360",0.08%,31-Dec-24,Official estimate
"61,42,180",0.07%,17-May-23,2023 census result
"61,10,200",0.07%,30-Jun-25,National annual projection
"61,09,644",0.07%,09-Nov-22,2022 census result
"60,29,976",0.07%,02-May-24,2024 census result
"60,25,603",0.07%,01-Jan-26,Monthly national estimate
"56,56,900",0.07%,01-Jan-26,Monthly national estimate
"56,18,354",0.07%,30-Sep-25,National quarterly estimate
"54,90,000",0.07%,01-Jul-21,Official estimate
"54,83,450",0.07%,01-Jan-23,National annual projection
"54,58,600",0.07%,01-Apr-25,National estimate
