Location, Population ,% of World,Date,Source
World," 8,23,20,00,000 ",100.00%,13-Jun-25,UN projection
India," 1,41,74,92,000 ",17.20%,01-Jul-25,Official projection
China," 1,40,48,90,000 ",17.10%,31-Dec-25,Official estimate
United States," 34,17,84,857 ",4.20%,01-Jul-25,Official estimate
Indonesia," 28,44,38,782 ",3.50%,30-Jun-25,National annual projection
Pakistan," 24,14,99,431 ",2.90%,01-Mar-23,2023 census result
Nigeria," 22,38,00,000 ",2.70%,01-Jul-23,Official projection
Brazil," 21,34,21,037 ",2.60%,01-Jul-25,Official estimate
Bangladesh," 16,98,28,911 ",2.10%,14-Jun-22,2022 census result
Russia," 14,60,28,325 ",1.80%,01-Jan-25,Official estimate
Mexico," 13,07,60,049 ",1.60%,30-Sep-25,National quarterly estimate
Japan," 12,29,50,000 ",1.50%,01-Jan-26,Monthly national estimate
Philippines," 11,41,23,600 ",1.40%,01-Jul-25,Official projection
Democratic Republic of the Congo," 11,28,32,000 ",1.40%,01-Jul-25,UN projection
Ethiopia," 11,16,52,998 ",1.40%,01-Jul-25,National annual projection
Egypt," 10,78,68,296 ",1.30%,01-Jul-25,Official estimate
Vietnam," 10,23,00,000 ",1.20%,31-Dec-25,Official estimate
Iran," 8,65,63,000 ",1.10%,20-Mar-25,Official projection
Turkey," 8,60,92,168 ",1.00%,31-Dec-25,Official estimate
Germany," 8,34,97,147 ",1.00%,30-Sep-25,National quarterly estimate
United Kingdom," 6,94,87,000 ",0.80%,30-Jun-25,Official estimate
France," 6,90,81,996 ",0.80%,01-Jan-26,Yearly national estimate
Tanzania," 6,81,53,004 ",0.80%,01-Jul-25,Official projection
Thailand," 6,58,26,149 ",0.80%,30-Nov-25,Monthly national estimate
South Africa," 6,31,00,945 ",0.80%,30-Jun-25,Official estimate
Italy," 5,89,56,824 ",0.70%,31-Oct-25,Monthly national estimate
Kenya," 5,33,30,978 ",0.60%,01-Jul-25,Official projection
Colombia," 5,30,57,212 ",0.60%,01-Jan-25,Official projection
Sudan," 5,16,62,000 ",0.60%,01-Jul-25,UN projection
Myanmar," 5,13,75,327 ",0.60%,15-Oct-24,2024 census result
South Korea," 5,11,17,378 ",0.60%,31-Dec-25,Monthly national estimate
Spain," 4,95,70,725 ",0.60%,01-Jan-26,National quarterly estimate
